road_key,road_name,measurements_count,stations_count,date_min,date_max,avg_speed_kmh_mean,avg_speed_kmh_median,avg_speed_kmh_weighted,avg_speed_kmh_latest,vehicle_count_total
1 praskiego pułku,1 Praskiego Pułku,2,1,2024-04-16,2024-04-16,21.1,21.1,19.9,19.8,4495
1 sierpnia,1 Sierpnia,2,1,2024-09-24,2024-09-24,42.63,42.63,42.63,42.63,8582
abrahama,Abrahama,2,1,2026-04-14,2026-04-14,39.21,39.21,39.27,38.48,6334
aleje niepodległości,Al. Niepodległości,2,1,2026-04-14,2026-04-14,49.4,49.4,49.3,46.14,28769
aleje piłsudskiego,Al. Piłsudskiego,2,1,2023-06-22,2023-06-22,54.58,54.58,54.56,55.26,12793
aleje zjednoczenia,Al. Zjednoczenia,4,1,2025-05-21,2025-05-21,36.38,36.28,36.38,36.17,12147
baletowa,Baletowa,2,1,2024-04-16,2024-04-16,37.95,37.95,34.34,33.9,2591
batalionów chłopskich,Batalionów Chłopskich,2,1,2023-06-20,2023-06-20,31.58,31.58,31.55,32.01,7868
bazyliańska,Bazyliańska,2,1,2023-10-26,2023-10-26,36.82,36.82,36.71,38.33,13664
białobrzeska,Białobrzeska,2,1,2024-03-21,2024-03-21,34.52,34.52,34.52,32.5,0
bolesława chrobrego,Bolesława Chrobrego,2,1,2024-03-19,2024-03-19,39.2,39.2,39.01,35.77,16644
branickiego,Branickiego,2,1,2023-06-21,2023-06-21,63.52,63.52,63.5,62.89,38884
bukowińska,Bukowińska,2,1,2023-06-15,2023-06-15,42.89,42.89,43.2,45.45,16242
chełmska,Chełmska,2,1,2026-03-18,2026-03-18,34.17,34.17,33.86,35.64,11098
chełmżyńska,Chełmżyńska,8,3,2023-10-18,2026-03-10,41.01,46.28,45.11,49.47,37803
chocimska,Chocimska,1,1,2023-11-22,2023-11-22,28.55,28.55,28.55,28.55,1477
cyrulików,Cyrulików,2,1,2024-04-16,2024-04-16,72.25,72.25,71.86,71.8,8315
czerska,Czerska,1,1,2025-05-28,2025-05-28,25.03,25.03,25.03,25.03,2041
dobra,Dobra,2,1,2024-03-20,2024-03-20,43.52,43.52,43.01,44.69,5218
dźwigowa,Dźwigowa,2,1,2023-09-26,2023-09-26,37.16,37.16,37.27,36.34,21799
gen. sosnkowskiego,Gen. Sosnkowskiego,2,1,2024-03-19,2024-03-19,33.94,33.94,33.47,32.08,6872
