road_key,road_name,measurements_count,stations_count,date_min,date_max,traffic_factor_latest,traffic_factor_max,traffic_factor_mean,vehicle_count_max,vehicle_count_mean,source_latest
aleje jerozolimskie,Al. Jerozolimskie,144,3,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.4,1.192,3998,1563.56,zdm_apr_real
aleje ujazdowskie,Al. Ujazdowskie,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,576,254.54,zdm_apr_real
arkuszowa,Arkuszowa,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,382,224.48,zdm_apr_real
bora-komorowskiego,Bora-Komorowskiego,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,841,356.44,zdm_apr_real
broniewskiego,Broniewskiego,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,648,358.85,zdm_apr_real
chełmżyńska,Chełmżyńska,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,478,223.5,zdm_apr_real
czecha,Czecha,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.25,1.08,1574,852.48,zdm_apr_real
czerniakowska,Czerniakowska,96,2,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.4,1.18,2304,1285.86,zdm_apr_real
dolina służewiecka,Dolina Służewiecka,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.4,1.169,2071,1269.5,zdm_apr_real
drewny,Drewny,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.15,1.047,1302,680.77,zdm_apr_real
dywizjonu 303,Dywizjonu 303,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,476,204.42,zdm_apr_real
dźwigowa,Dźwigowa,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,807,490.38,zdm_apr_real
emilii plater,Emilii Plater,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,644,375.02,zdm_apr_real
estrady,Estrady,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,522,231.85,zdm_apr_real
gdańska,Gdańska,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,69,39.4,zdm_apr_real
gierdziejewskiego,Gierdziejewskiego,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,764,381.46,zdm_apr_real
grochowska,Grochowska,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,820,438.1,zdm_apr_real
grójecka,Grójecka,96,2,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.25,1.039,1520,588.84,zdm_apr_real
gwiaździsta,Gwiaździsta,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,215,92.02,zdm_apr_real
górczewska,Górczewska,96,2,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.15,1.022,1226,571.3,zdm_apr_real
głębocka,Głębocka,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.15,1.044,1387,697.6,zdm_apr_real
jagiellońska,Jagiellońska,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.25,1.086,1773,878.71,zdm_apr_real
jana iii sobieskiego,Jana III Sobieskiego,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.15,1.003,1011,441.67,zdm_apr_real
janowiecka,Janowiecka,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,389,133.6,zdm_apr_real
kabacka,Kabacka,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,91,37.75,zdm_apr_real
kijowska,Kijowska,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,569,253.25,zdm_apr_real
kobiałka,Kobiałka,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,295,118.67,zdm_apr_real
kolejowa,Kolejowa,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,335,155.98,zdm_apr_real
kopijników,Kopijników,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,724,394.71,zdm_apr_real
korbońskiego,Korbońskiego,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,493,178.1,zdm_apr_real
lazurowa,Lazurowa,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.15,1.003,1029,498.48,zdm_apr_real
leona kruczkowskiego,Leona Kruczkowskiego,48,1,2026-01-01 00:00:00.000000,2026-01-01 23:00:00.000000,1.0,1.0,1.0,644,290.85,zdm_apr_real
